,Ctrl.AS3.J1,Ctrl.AS3.J2,Ctrl.AS3.J3,Ctrl.AS3.J4,Ctrl.AS3.J5,Ctrl.BS.J1,Ctrl.BS.J2,Ctrl.BS.J3,Ctrl.BS.J4,Ctrl.BS.J5,Ctrl.P1.J1,Ctrl.P1.J2,Ctrl.P1.J3,Ctrl.P1.J4,Ctrl.P1.J5,DBP.AS1.J1,DBP.AS1.J2,DBP.AS1.J3,DBP.AS1.J4,DBP.AS1.J5,DBP.BS.J1,DBP.BS.J2,DBP.BS.J3,DBP.BS.J4,DBP.BS.J5,DBP.P1.J1,DBP.P1.J2,DBP.P1.J3,DBP.P1.J4,DBP.P1.J5,TBAC.AS3.J1,TBAC.AS3.J2,TBAC.AS3.J3,TBAC.AS3.J4,TBAC.AS3.J5,TBAC.BS.J1,TBAC.BS.J2,TBAC.BS.J3,TBAC.BS.J4,TBAC.BS.J5,TBAC.P3.J1,TBAC.P3.J2,TBAC.P3.J3,TBAC.P3.J4,TBAC.P3.J5,TEC.AS3.J1,TEC.AS3.J2,TEC.AS3.J3,TEC.AS3.J4,TEC.AS3.J5,TEC.BS.J1,TEC.BS.J2,TEC.BS.J3,TEC.BS.J4,TEC.BS.J5,TEC.P3.J1,TEC.P3.J2,TEC.P3.J3,TEC.P3.J4,TEC.P3.J5
Otu638,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0
Otu64,34,29,29,66,15,1,6,10,18,8,0,18,15,102,7,368,10,61,48,832,68,25,27,46,54,4,7,10,10,5,32,17,20,27,22,7,7,4,4,9,5,26,28,28,34,26,11,26,27,36,31,23,9,7,14,1,18,13,6,17
Otu640,0,3,1,0,0,5,0,2,1,0,0,0,0,0,2,0,0,6,1,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,5,0,0,2,0,0,0,0,0,0,1,0
Otu641,4,9,7,27,5,3,7,2,8,6,1,2,0,4,0,11,0,1,1,65,6,0,5,2,8,0,0,0,1,0,4,7,3,15,2,3,5,3,5,7,0,0,1,0,0,0,6,4,4,2,0,2,3,5,2,1,3,1,2,3
Otu643,0,1,0,0,0,0,0,1,4,0,1,0,1,5,3,13,0,0,0,11,2,0,0,0,1,3,6,5,1,1,0,1,0,1,0,1,1,0,0,0,3,1,0,0,1,3,1,0,0,0,0,1,0,0,0,0,0,1,2,1
Otu645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,2,0,7,0,0,0,0,0,0,0,0,0,0,0,2,0,10,2,0
Otu646,1,0,5,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,7,3,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,3,1,2,0,0,0,0,1,0,0,0,0,0,4,0,4,0,6,0,0,0,2,1
Otu648,0,0,0,0,0,0,0,0,0,0,0,2,1,0,5,1,0,0,0,0,0,0,0,0,0,38,2,1,0,9,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Otu65,5,1,6,2,2,3,2,4,2,0,1,4,3,14,1,36,0,10,6,27,2,7,3,1,2,37,12,30,5,14,1,8,0,0,0,2,0,2,0,2,7,2,8,5,7,11,4,1,4,1,3,2,3,1,0,9,8,6,16,15
Otu650,0,1,1,5,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,8,0,0,0,2,0,0,0,1,0,0,2,3,0,0,1,1,0,0,1,0,1,1,0,2,1,1,6,2,6,2,3,1,0,0,0,0,1,1,3,1
